,time,open,high,low,close,volume,date
6338,1594368000000.0,9154.99,9205.26,9153.38,9161.49,7000.69585,2020-07-10 08:00:00
6339,1594382400000.0,9161.49,9249.0,9160.59,9245.92,6781.327627,2020-07-10 12:00:00
6340,1594396800000.0,9245.91,9252.41,9206.0,9235.57,5162.769351,2020-07-10 16:00:00
6341,1594411200000.0,9235.58,9317.48,9210.0,9288.34,5134.40151,2020-07-10 20:00:00
6342,1594425600000.0,9288.34,9299.28,9257.54,9268.2,4083.334349,2020-07-11 00:00:00
6343,1594440000000.0,9268.19,9279.56,9253.13,9268.8,3431.108988,2020-07-11 04:00:00
6344,1594454400000.0,9268.22,9269.98,9178.25,9200.37,5590.861034,2020-07-11 08:00:00
6345,1594468800000.0,9200.37,9235.63,9195.0,9226.65,3468.278228,2020-07-11 12:00:00
6346,1594483200000.0,9226.65,9253.79,9201.94,9205.11,3361.927473,2020-07-11 16:00:00
6347,1594497600000.0,9205.1,9253.0,9201.55,9234.03,2625.855928,2020-07-11 20:00:00
6348,1594512000000.0,9234.02,9294.0,9230.61,9272.47,4474.032782,2020-07-12 00:00:00
6349,1594526400000.0,9272.47,9286.69,9242.9,9255.92,3050.267707,2020-07-12 04:00:00
6350,1594540800000.0,9255.95,9273.2,9241.51,9245.28,3551.756183,2020-07-12 08:00:00
6351,1594555200000.0,9245.28,9345.0,9182.0,9215.69,9737.948544,2020-07-12 12:00:00
6352,1594569600000.0,9215.75,9235.0,9157.5,9220.28,4106.811393,2020-07-12 16:00:00
6353,1594584000000.0,9220.28,9327.0,9212.83,9302.75,5951.885677,2020-07-12 20:00:00
6354,1594598400000.0,9303.31,9321.34,9265.53,9271.99,5443.124674,2020-07-13 00:00:00
6355,1594612800000.0,9271.99,9291.0,9244.55,9270.01,5780.317088,2020-07-13 04:00:00
6356,1594627200000.0,9270.01,9318.0,9264.17,9309.04,7864.365649,2020-07-13 08:00:00
6357,1594641600000.0,9309.03,9343.82,9278.0,9290.38,8614.98005,2020-07-13 12:00:00
6358,1594656000000.0,9290.38,9323.0,9200.89,9235.07,9815.378429,2020-07-13 16:00:00
6359,1594670400000.0,9234.56,9271.85,9217.76,9242.62,5221.903225,2020-07-13 20:00:00
6360,1594684800000.0,9242.61,9246.72,9211.25,9217.11,5195.204977,2020-07-14 00:00:00
6361,1594699200000.0,9217.16,9218.59,9151.0,9181.01,7571.382404,2020-07-14 04:00:00
6362,1594713600000.0,9181.2,9238.59,9113.0,9232.95,11344.157982,2020-07-14 08:00:00
6363,1594728000000.0,9232.81,9242.0,9182.02,9219.21,8844.893406,2020-07-14 12:00:00
6364,1594742400000.0,9219.27,9275.0,9209.37,9268.92,8724.64372,2020-07-14 16:00:00
6365,1594756800000.0,9268.89,9279.54,9235.79,9255.85,4092.27002,2020-07-14 20:00:00
6366,1594771200000.0,9255.85,9276.49,9227.71,9234.85,3767.295671,2020-07-15 00:00:00
6367,1594785600000.0,9234.86,9249.47,9218.67,9231.21,4752.079959,2020-07-15 04:00:00
6368,1594800000000.0,9231.2,9249.98,9188.0,9219.27,9029.639426,2020-07-15 08:00:00
6369,1594814400000.0,9219.22,9248.0,9197.0,9204.98,9052.522807,2020-07-15 12:00:00
6370,1594828800000.0,9204.98,9225.06,9160.57,9185.46,7123.654836,2020-07-15 16:00:00
6371,1594843200000.0,9185.46,9237.27,9179.06,9197.6,5328.386966,2020-07-15 20:00:00
6372,1594857600000.0,9197.6,9226.15,9177.77,9203.59,4108.30789,2020-07-16 00:00:00
6373,1594872000000.0,9203.58,9216.82,9084.0,9123.69,9646.724918,2020-07-16 04:00:00
6374,1594886400000.0,9123.69,9140.0,9047.25,9081.61,11823.025061,2020-07-16 08:00:00
6375,1594900800000.0,9081.62,9130.1,9069.31,9125.26,7300.772845,2020-07-16 12:00:00
6376,1594915200000.0,9125.25,9153.0,9112.09,9126.13,6225.686099,2020-07-16 16:00:00
6377,1594929600000.0,9126.13,9147.9,9091.1,9133.72,4271.054378,2020-07-16 20:00:00
6378,1594944000000.0,9133.72,9142.06,9105.11,9119.81,3517.682251,2020-07-17 00:00:00
6379,1594958400000.0,9119.81,9133.93,9089.81,9109.94,5161.64198,2020-07-17 04:00:00
6380,1594972800000.0,9109.94,9142.07,9095.23,9138.92,5476.481995,2020-07-17 08:00:00
6381,1594987200000.0,9138.92,9186.83,9138.92,9148.37,6731.785786,2020-07-17 12:00:00
6382,1595001600000.0,9148.16,9170.0,9128.0,9164.75,4468.480706,2020-07-17 16:00:00
6383,1595016000000.0,9164.74,9180.0,9144.05,9154.32,2698.286023,2020-07-17 20:00:00
6384,1595030400000.0,9154.31,9168.88,9121.1,9135.02,4231.561353,2020-07-18 00:00:00
6385,1595044800000.0,9135.01,9146.34,9127.73,9132.37,2582.82007,2020-07-18 04:00:00
6386,1595059200000.0,9132.36,9219.3,9123.92,9159.9,5318.359661,2020-07-18 08:00:00
6387,1595073600000.0,9159.91,9175.0,9153.42,9169.57,3268.619406,2020-07-18 12:00:00
6388,1595088000000.0,9169.57,9200.0,9147.92,9163.84,4760.006958,2020-07-18 16:00:00
6389,1595102400000.0,9163.85,9179.29,9156.49,9170.28,2393.174009,2020-07-18 20:00:00
6390,1595116800000.0,9170.3,9180.79,9140.38,9153.41,2966.98009,2020-07-19 00:00:00
6391,1595131200000.0,9153.41,9160.0,9139.27,9154.78,2742.187178,2020-07-19 04:00:00
6392,1595145600000.0,9154.79,9156.2,9101.35,9124.41,4991.296558,2020-07-19 08:00:00
6393,1595160000000.0,9124.41,9136.81,9110.0,9119.89,3928.930713,2020-07-19 12:00:00
6394,1595174400000.0,9120.59,9171.11,9116.31,9165.44,3969.421529,2020-07-19 16:00:00
6395,1595188800000.0,9165.45,9232.27,9153.27,9208.99,7453.203349,2020-07-19 20:00:00
6396,1595203200000.0,9208.99,9221.52,9174.35,9191.99,4441.370205,2020-07-20 00:00:00
6397,1595217600000.0,9191.98,9194.31,9171.22,9180.72,4427.904562,2020-07-20 04:00:00
6398,1595232000000.0,9180.72,9190.0,9131.0,9147.75,7354.710025,2020-07-20 08:00:00
6399,1595246400000.0,9147.72,9179.75,9140.82,9173.75,6599.64232,2020-07-20 12:00:00
6400,1595260800000.0,9173.82,9203.6,9146.43,9158.65,8088.931381,2020-07-20 16:00:00
6401,1595275200000.0,9158.64,9185.0,9141.19,9160.78,4546.205589,2020-07-20 20:00:00
6402,1595289600000.0,9160.78,9195.41,9152.8,9180.83,4410.680009,2020-07-21 00:00:00
6403,1595304000000.0,9180.71,9353.0,9173.34,9315.29,13292.930702,2020-07-21 04:00:00
6404,1595318400000.0,9315.28,9350.0,9302.55,9344.63,11777.76718,2020-07-21 08:00:00
6405,1595332800000.0,9344.64,9437.73,9325.0,9338.0,18542.83176,2020-07-21 12:00:00
6406,1595347200000.0,9337.99,9391.83,9318.35,9354.35,7781.992515,2020-07-21 16:00:00
6407,1595361600000.0,9354.35,9391.25,9352.27,9390.0,4607.38032,2020-07-21 20:00:00
6408,1595376000000.0,9390.0,9392.82,9349.46,9359.06,5548.745573,2020-07-22 00:00:00
6409,1595390400000.0,9359.05,9367.5,9261.0,9302.0,6870.42762,2020-07-22 04:00:00
6410,1595404800000.0,9302.0,9354.58,9291.22,9344.68,7361.354899,2020-07-22 08:00:00
6411,1595419200000.0,9344.69,9354.0,9311.11,9338.14,7165.505649,2020-07-22 12:00:00
6412,1595433600000.0,9338.14,9385.0,9325.27,9373.88,7731.462794,2020-07-22 16:00:00
6413,1595448000000.0,9373.88,9544.0,9360.0,9518.16,14137.507572,2020-07-22 20:00:00
6414,1595462400000.0,9518.16,9533.7,9461.0,9491.99,7655.653146,2020-07-23 00:00:00
6415,1595476800000.0,9492.0,9509.97,9462.0,9491.67,6316.382521,2020-07-23 04:00:00
6416,1595491200000.0,9491.66,9527.0,9480.0,9507.01,7086.977053,2020-07-23 08:00:00
6417,1595505600000.0,9507.01,9585.0,9440.33,9524.99,12012.346785,2020-07-23 12:00:00
6418,1595520000000.0,9525.0,9664.0,9510.67,9595.8,14813.173743,2020-07-23 16:00:00
6419,1595534400000.0,9595.67,9610.0,9567.24,9603.27,3971.700252,2020-07-23 20:00:00
6420,1595548800000.0,9603.27,9606.83,9535.75,9561.55,4632.635877,2020-07-24 00:00:00
6421,1595563200000.0,9561.59,9571.04,9463.44,9508.02,8199.905273,2020-07-24 04:00:00
6422,1595577600000.0,9508.02,9560.0,9477.35,9532.09,7690.760522,2020-07-24 08:00:00
6423,1595592000000.0,9532.09,9566.38,9497.44,9551.68,8578.334531,2020-07-24 12:00:00
6424,1595606400000.0,9551.69,9589.0,9520.0,9581.76,7020.383795,2020-07-24 16:00:00
6425,1595620800000.0,9581.76,9637.0,9513.0,9537.8,7809.116207,2020-07-24 20:00:00
6426,1595635200000.0,9538.1,9623.51,9513.0,9581.58,6268.253285,2020-07-25 00:00:00
6427,1595649600000.0,9581.59,9624.13,9564.82,9568.5,5303.683717,2020-07-25 04:00:00
6428,1595664000000.0,9568.5,9606.9,9559.84,9574.29,5146.449305,2020-07-25 08:00:00
6429,1595678400000.0,9574.29,9610.92,9552.29,9593.19,5699.830413,2020-07-25 12:00:00
6430,1595692800000.0,9593.2,9708.81,9573.61,9674.14,10615.837843,2020-07-25 16:00:00
6431,1595707200000.0,9674.14,9732.9,9668.88,9700.42,7645.490853,2020-07-25 20:00:00
6432,1595721600000.0,9700.42,9704.08,9650.0,9677.69,5273.080214,2020-07-26 00:00:00
6433,1595736000000.0,9677.69,9736.0,9660.35,9716.54,5768.993921,2020-07-26 04:00:00
6434,1595750400000.0,9716.53,10111.0,9702.97,9970.87,28294.514831,2020-07-26 08:00:00
6435,1595764800000.0,9970.86,9990.0,9810.5,9961.83,12662.024079,2020-07-26 12:00:00
6436,1595779200000.0,9961.83,9988.0,9845.2,9866.0,7740.403471,2020-07-26 16:00:00
6437,1595793600000.0,9866.0,9940.0,9840.9,9931.54,5540.252803,2020-07-26 20:00:00
6438,1595808000000.0,9931.54,10315.0,9917.21,10248.84,21816.247013,2020-07-27 00:00:00
6439,1595822400000.0,10248.85,10319.89,10138.86,10157.95,17685.895935,2020-07-27 04:00:00
6440,1595836800000.0,10157.95,10328.0,10120.0,10255.92,16274.216627,2020-07-27 08:00:00
6441,1595851200000.0,10255.93,10440.0,10223.2,10299.9,25371.641376,2020-07-27 12:00:00
6442,1595865600000.0,10299.99,10950.0,10294.42,10792.0,38163.552495,2020-07-27 16:00:00
6443,1595880000000.0,10792.0,11394.86,10680.0,11029.96,30877.379698,2020-07-27 20:00:00
6444,1595894400000.0,11029.96,11242.23,10828.0,10971.42,15963.969133,2020-07-28 00:00:00
6445,1595908800000.0,10970.88,11045.31,10835.0,10881.62,14531.8174,2020-07-28 04:00:00
6446,1595923200000.0,10881.62,11023.0,10565.0,10983.9,24850.974219,2020-07-28 08:00:00
6447,1595937600000.0,10983.89,11180.0,10907.0,11150.26,18944.351192,2020-07-28 12:00:00
6448,1595952000000.0,11150.25,11176.61,10840.0,10993.97,15746.845271,2020-07-28 16:00:00
6449,1595966400000.0,10993.98,11050.0,10856.17,10906.27,7229.776972,2020-07-28 20:00:00
6450,1595980800000.0,10906.27,11000.0,10831.55,10978.27,8288.755464,2020-07-29 00:00:00
6451,1595995200000.0,10978.02,11079.97,10812.0,11015.11,10264.98436,2020-07-29 04:00:00
6452,1596009600000.0,11015.29,11149.66,10916.0,11101.0,15235.415323,2020-07-29 08:00:00
6453,1596024000000.0,11101.0,11296.74,10970.2,11162.01,17416.226827,2020-07-29 12:00:00
6454,1596038400000.0,11161.86,11282.82,11105.0,11204.59,13164.447076,2020-07-29 16:00:00
6455,1596052800000.0,11204.95,11342.82,11042.82,11100.53,12468.265183,2020-07-29 20:00:00
6456,1596067200000.0,11100.52,11121.5,10937.0,10983.56,9892.251418,2020-07-30 00:00:00
6457,1596081600000.0,10983.56,11045.0,10893.3,10941.64,10465.864998,2020-07-30 04:00:00
6458,1596096000000.0,10941.64,11010.31,10887.28,10926.03,8618.101825,2020-07-30 08:00:00
6459,1596110400000.0,10925.82,11040.01,10831.0,11010.73,11877.80984,2020-07-30 12:00:00
6460,1596124800000.0,11010.73,11136.0,10971.48,11116.82,11979.319681,2020-07-30 16:00:00
6461,1596139200000.0,11116.82,11170.0,11057.81,11099.61,7961.478694,2020-07-30 20:00:00
6462,1596153600000.0,11099.79,11135.2,10960.0,10977.08,6419.180114,2020-07-31 00:00:00
6463,1596168000000.0,10976.26,11153.3,10974.0,11131.11,7944.936025,2020-07-31 04:00:00
